#ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_12244	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_12245	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis sp. CC-2009c
ASV_12246	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_12247	Eukaryota	no_hit	unknown	Polycystinea	Spumellaria	no_hit	no_hit	no_hit
ASV_12248	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12249	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 1sb RG-2016
ASV_12250	Eukaryota	no_hit	unknown	Dinophyceae	Suessiales	Suessiaceae	no_hit	no_hit
ASV_12251	Eukaryota	no_hit	Apicomplexa	Conoidasida	Eugregarinorida	Lecudinidae	Lecudina	Lecudina polymorpha
ASV_12252	Eukaryota	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Obeliidae	Obelia	no_hit
ASV_12253	Eukaryota	no_hit	Cercozoa	Thecofilosea	unknown	unknown	Mataza	Mataza hastifera
ASV_12254	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	no_hit	no_hit	no_hit
ASV_12255	Eukaryota	no_hit	unknown	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Cryptomonas indica
ASV_12256	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_12257	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_12258	Eukaryota	Viridiplantae	Chlorophyta	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12259	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_12260	Eukaryota	no_hit	unknown	Dinophyceae	Coccidiniales	Chytriodiniaceae	Chytriodinium	Chytriodinium roseum
ASV_12261	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12262	Eukaryota	no_hit	unknown	Dinophyceae	Coccidiniales	Chytriodiniaceae	Chytriodinium	no_hit
ASV_12263	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 37 RG-2016
ASV_12264	Eukaryota	no_hit	unknown	Acantharea	Arthracanthida	Phyllostauridae	Acanthostaurus	Acanthostaurus nordgaardi
ASV_12265	Eukaryota	no_hit	unknown	Dinophyceae	Coccidiniales	Chytriodiniaceae	Chytriodinium	Chytriodinium sp. Atlantic
ASV_12266	Eukaryota	no_hit	Apicomplexa	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12267	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12268	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12269	Eukaryota	no_hit	Cercozoa	no_hit	no_hit	no_hit	no_hit	no_hit
