"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_6346","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6347","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6348","no_hit","unknown","Acantharea","Holacanthida","Acanthochiasmidae","Trizona","Trizona brandti"
"ASV_6349","no_hit","Foraminifera","unknown","Rotaliida","no_hit","g_","s_"
"ASV_6350","no_hit","unknown","Acantharea","no_hit","no_hit","g_","s_"
"ASV_6351","no_hit","Foraminifera","no_hit","no_hit","no_hit","g_","s_"
"ASV_6352","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","g_","s_"
"ASV_6353","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","g_","s_"
"ASV_6354","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_6355","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_6356","no_hit","Ciliophora","Prostomatea","Prorodontida","no_hit","g_","s_"
"ASV_6357","no_hit","Ciliophora","Oligohymenophorea","Apostomatida","Pseudocolliniidae","g_","s_"
"ASV_6358","no_hit","Ciliophora","Oligohymenophorea","Apostomatida","Pseudocolliniidae","g_","s_"
"ASV_6359","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","g_","s_"
"ASV_6360","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_6361","no_hit","Cercozoa","unknown","Cercomonadida","Cercomonadidae","g_","s_"
"ASV_6362","no_hit","Foraminifera","unknown","unknown","unknown","g_","s_"
"ASV_6363","no_hit","Foraminifera","no_hit","no_hit","no_hit","g_","s_"
"ASV_6364","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6365","no_hit","Endomyxa","Ascetosporea","Haplosporida","Haplosporidiidae","g_","s_"
"ASV_6366","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_6367","no_hit","Ciliophora","Spirotrichea","no_hit","no_hit","g_","s_"
"ASV_6368","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"ASV_6369","Viridiplantae","Chlorophyta","no_hit","no_hit","no_hit","g_","s_"
"ASV_6370","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6371","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6372","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6373","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_6374","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_6375","no_hit","unknown","Cryptophyceae","Cryptomonadales","Hemiselmidaceae","Hemiselmis","Hemiselmis cryptochromatica"
"ASV_6376","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_6377","no_hit","unknown","Centroplasthelida","Pterocystida","Pterocystidae","g_","s_"
"ASV_6378","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Amphidomataceae","g_","s_"
"ASV_6379","no_hit","unknown","Pelagophyceae","no_hit","no_hit","no_hit","no_hit"
"ASV_6380","Metazoa","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","no_hit","s_"
"ASV_6381","no_hit","Cercozoa","no_hit","no_hit","no_hit","g_","s_"
"ASV_6382","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6383","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","g_","s_"
"ASV_6384","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_6385","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","s_"
"ASV_6386","no_hit","Apicomplexa","Conoidasida","Eugregarinorida","Gregarinidae","g_","s_"
"ASV_6387","no_hit","Oomycota","unknown","Myzocytiopsidales","Myzocytiopsidaceae","g_","s_"
"ASV_6388","no_hit","Bacillariophyta","Coscinodiscophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus sp. GGM-2004"
