MiSeq_plate,MiSeq_input,MiSeq_filtered,MiSeq_denoisedF,MiSeq_denoisedR,MiSeq_merged,MiSeq_nonchim,MiSeq_perc_pass_filter,AVITI_subsetted_plate,AVITI_subsetted_input,AVITI_subsetted_filtered,AVITI_subsetted_denoisedF,AVITI_subsetted_denoisedR,AVITI_subsetted_merged,AVITI_subsetted_nonchim,AVITI_subsetted_perc_pass_filter,Order
FD53,75016,65239,64596,64777,62484,60289,80.36818812,FK53,74894,66414,66296,66338,65226,62421,83.34579539,53
FD54,86869,71354,70520,70769,68441,66165,76.16641149,FK54,86628,73456,73337,73381,72645,69588,80.32968555,54
FD55,85533,55390,54642,53782,51443,50402,58.92696386,FK55,85436,56549,56440,56423,56068,54518,63.81150803,55
FD56,94342,60576,59521,59907,57397,55756,59.09987068,FK56,94188,63856,63726,63695,63244,61125,64.89680214,56
FD57,100737,68836,68033,68124,64934,62990,62.52916009,FK57,100518,70874,70564,70625,69939,67452,67.10439921,57
FD58,78705,50832,50063,50428,48297,47061,59.7941681,FK58,78579,51570,51429,51414,51045,49392,62.85648837,58
FD59,85494,73836,73049,72980,69923,67507,78.96109669,FK59,85276,75452,75373,75362,74897,71354,83.67418734,59
FD60,85919,73311,72695,72764,69619,67179,78.18875918,FK60,85630,74381,74282,74276,73703,70308,82.10673829,60
FD61,94395,78856,78164,78217,75074,72402,76.70109646,FK61,94294,80738,80637,80593,80064,76548,81.18013872,61
FD62,72982,49953,48973,49294,46927,45559,62.4249815,FK62,72982,49711,49577,49599,49251,47606,65.22978269,62
FD63,94898,75701,74987,75291,73033,70349,74.13117242,FK63,94675,75726,75538,75603,75128,72003,76.05281225,63
FD64,103722,86226,85483,85589,83316,81340,78.42116427,FK64,103402,88908,88820,88850,88578,85899,83.07286126,64
FD65,115562,97476,96655,96781,93619,90128,77.99103512,FK65,115285,99615,99496,99546,99051,94183,81.69579737,65
FD66,124850,101946,101164,101108,97231,93397,74.80736884,FK66,124656,105865,105715,105748,105117,100018,80.23520729,66
FD67,103701,77106,76132,76121,73033,70911,68.38024706,FK67,103677,78476,78282,78277,77660,74690,72.04105057,67
FD68,97198,74970,73834,74194,71088,69119,71.11154551,FK68,97049,77269,77098,77119,76584,74006,76.25632412,68
FD69,106867,90913,89720,90394,86693,84086,78.68284877,FK69,106587,93361,93222,93186,92802,89299,83.78038598,69
FD70,116328,93307,92064,92495,87629,83923,72.14342205,FK70,115991,96917,96707,96770,96153,91621,78.9897492,70
FD71,98704,79253,78470,78664,75620,73567,74.53294699,FK71,98456,80105,79985,79891,79323,76822,78.02673275,71
FD72,99929,73023,72423,72354,69842,67381,67.4288745,FK72,99694,74812,74641,74708,74200,71099,71.31723073,72
FD73,100883,73426,72483,72883,70127,67741,67.14808243,FK73,100607,76764,76597,76662,76184,73137,72.69573688,73
FD74,98788,70569,69679,69770,67046,64510,65.30145362,FK74,98625,72615,72462,72517,72009,68861,69.82103929,74
FD75,101957,71329,70351,70724,67510,64714,63.47185578,FK75,101788,74554,74413,74432,73922,70334,69.09851849,75
FD76,111440,80488,79526,79747,76512,73606,66.04989232,FK76,111155,81359,81174,81236,80587,76909,69.19076965,76
FD77,93479,71544,70979,70889,68828,66228,70.84799795,FK77,93398,73311,73140,73225,72733,69514,74.42771794,77
FD78,81074,59908,59195,59513,57277,55109,67.97370304,FK78,80986,62320,62185,62242,61823,59035,72.89531524,78
FD79,82013,58323,57620,57648,55318,53315,65.00798654,FK79,81977,60337,60195,60230,59764,57203,69.77932835,79
FD80,95131,69910,69004,69366,66799,64634,67.94210089,FK80,94892,73295,73161,73189,72783,69897,73.65952873,80
FD81,98906,70103,69383,69462,66959,64413,65.12547267,FK81,98633,72975,72808,72856,72379,69217,70.17631016,81
FD82,96204,69017,68269,68469,66086,64188,66.72071847,FK82,96090,72182,71979,72061,71622,69112,71.92423769,82
FD83,124374,93793,92726,93020,88572,85365,68.63572772,FK83,123942,94758,94571,94562,93403,89606,72.29671943,83
FD84,97019,71999,71318,70971,68331,65889,67.91350148,FK84,96894,75287,75026,75166,74594,71282,73.56699073,84
FD85,77989,52087,51526,51642,49331,47135,60.43801049,FK85,77850,54313,54179,54208,53781,51047,65.57096981,85
FD86,96219,67068,66056,66541,63418,60736,63.12266808,FK86,96120,68211,68045,68082,67543,64342,66.93924261,86
FD87,88178,64151,63599,63703,61498,59198,67.13465944,FK87,88039,65545,65406,65451,64998,62190,70.63914856,87
FD88,89099,62398,61661,61920,59615,57301,64.31160844,FK88,88911,65049,64912,64939,64448,61446,69.109559,88
FD89,93545,63614,62939,63158,60821,58246,62.26521995,FK89,93424,65180,65029,65034,64598,61292,65.6062682,89
FD90,32041,6193,5951,6015,5757,4953,15.45831903,FK90,32025,8685,8683,8683,8575,7218,22.53864169,90
FD91,94639,80445,79915,80127,78770,76334,80.65807965,FK91,94421,82152,81954,82073,81687,78692,83.34162951,91
FD92,28316,25313,24862,24826,24292,24268,85.70419551,FK92,28244,26879,26805,26878,26713,25565,90.5147996,92
FD93,20271,17143,16974,16833,16307,16034,79.09821913,FK93,20283,18775,18775,18773,18622,18277,90.10994429,93
FD94,34868,30922,30559,30528,29987,29987,86.00149134,FK94,34890,32925,32925,32829,32771,31458,90.16337059,94
FD95,82338,14460,13996,14101,13679,13560,16.46870218,FK95,82129,14794,14758,14704,14644,14457,17.6027956,95
