ASV	14223c01_05c_eDNA	14223c01_07c_eDNA	14223c01_06c_eDNA	14223c01_10c_eDNA	14223c01_04c_eDNA	14223c01_09c_eDNA	14223c01_02c_eDNA	14223c01_01c_eDNA	14223c01_03c_eDNA	14223c01_12c_eDNA	14223c01_08c_eDNA	25424c01_12c_eDNA	25424c01_10c_eDNA	25424c01_09c_eDNA	25424c01_06c_eDNA	25424c01_03c_eDNA	25424c02_12c_eDNA	25424c02_10c_eDNA	25424c02_09c_eDNA	25424c02_06c_eDNA	25424c02_03c_eDNA	25424c03_12c_eDNA	25424c03_10c_eDNA	25424c03_09c_eDNA	25424c03_06c_eDNA	25424c03_03c_eDNA	22624c01_12c_eDNA	22624c01_10c_eDNA	22624c01_09c_eDNA	22624c01_06c_eDNA	22624c01_03c_eDNA	22624c02_12c_eDNA	22624c02_10c_eDNA	22624c02_09c_eDNA	22624c02_06c_eDNA	22624c02_03c_eDNA	22624c03_12c_eDNA	22624c03_10c_eDNA	22624c03_09c_eDNA	22624c03_06c_eDNA	22624c03_03c_eDNA	20524c02_12c_eDNA	20524c02_10c_eDNA	20524c02_09c_eDNA	20524c02_06c_eDNA	20524c02_03c_eDNA	20524c01_12c_eDNA	20524c01_10c_eDNA	20524c01_09c_eDNA	20524c01_06c_eDNA	20524c01_03c_eDNA	20524c03_12c_eDNA	20524c03_10c_eDNA	20524c03_09c_eDNA	20524c03_06c_eDNA	20524c03_03c_eDNA	17024c03_03c_eDNA	17024c03_06c_eDNA	17024c03_09c_eDNA	17024c03_10c_eDNA	17024c03_12c_eDNA	17024c02_03c_eDNA	17024c02_06c_eDNA	17024c02_09c_eDNA	17024c02_10c_eDNA	17024c02_12c_eDNA	17024c01_03c_eDNA	17024c01_06c_eDNA	17024c01_09c_eDNA	17024c01_10c_eDNA	17024c01_12c_eDNA	CN24F150mMV2_SC42	CN24F150mMV2_SC43	CN24F150mMV2_SC44	CN24F150mMV2_SC45	CN24F150mMV2_SC46	CN24F150mMV2_SC47	CN24F150mMV2_SC48	CN24F150mMV2_SC49	CN24F150mMV2_SC50	CN24F150mMV2_SC51	CN24F150mMV2_SC52	CN24F150mMV2_SC53	CN24F150mMV2_SC54	CN24F150mMV2_SC55	CN24F150mMV2_SC56	CN24F150mMV2_SC57	CN24F150mMV2_SC58	CN24F150mMV2_SC59	CN24F150mMV2_preblank	CN24F150mMV2_postblank	CN_MBTS_Dual_extraction_P1_DNA_EB	pcrblank1	pcrblank2	Art_Comm_FWAQ
ASV_2587	3	21	9	0	6	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2	8	0	0	0	0	3	5	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2588	2	0	0	0	0	0	3	0	0	0	3	0	0	0	0	2	0	0	0	1	2	0	0	0	10	3	0	0	0	0	1	0	0	0	0	5	0	0	0	1	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	3	0	0	0	0	3	3	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ASV_2589	0	0	0	43	0	8	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2590	0	0	0	0	0	1	0	0	0	2	0	0	3	4	0	0	0	0	1	3	0	0	5	1	0	0	0	0	4	11	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	1	1	0	0	7	1	1	0	4	4	1	1	0	2	2	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2591	0	3	1	2	0	0	0	0	0	2	0	6	0	0	0	3	0	2	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	7	2	1	0	3	3	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	3	5	0	0	2	0	5	0	0	2	0	4	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0
ASV_2592	0	8	2	0	0	0	3	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	2	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2593	0	0	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	2	4	1	2	3	2	0	5	2	1	5	3	1	5	7	1	1	3	0	0	0	0	0	0
ASV_2594	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	9	0	0	0	2	0	0	0	0	5	0	0	0	2	24	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	1	2	2	0	1	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
ASV_2595	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	6	1	0	3	1	7	1	0	0	9	8	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5	2	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0
ASV_2596	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	15	0	3	0	0	9	0	0	0	2	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	4	0	2	1	2	0	2	0	0	1	1	3	2	0	0	0	0	0	0	0	0
ASV_2597	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	12	0	0	0	5	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	1	2	0	0	0	0	0	1	0	2	2	3	0	4	0	0	0	0	0	0
ASV_2598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	1	11	0	0	0	0	7	0	0	0	0	8	0	0	0	0	0	0	0	0	5	1	0	0	0	0	9	9	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	8	0	0	0	0	1	0	0	0	0	19	0	0	0	0	23	1	0	0	0	0	6	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2600	15	15	7	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2601	6	9	5	0	8	1	3	1	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2602	4	0	4	0	14	0	21	9	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2603	2	2	1	0	1	0	3	0	3	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	1	1	0	0	0	0	5	0	0	0	0	13	0	0	0	2	0	0	0	0	2	0	0	0	0	0	5	2	7	0	0	0	0	1	0	0	0	4	5	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_2604	0	0	0	22	0	0	0	0	0	36	0	0	0	0	0	0	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_2605	0	9	0	18	5	0	0	0	0	11	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	13	0	0	0	0	2	8	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2606	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	4	1	0	0	0	2	0	0	1	0	0	0	3	2	0	0	0	2	0	2	0	29	1	2	3	0	0	2	2	0	0	0	2	2	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2607	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	12	0	0	2	0	0	0	0	0	6	2	0	0	0	1	11	0	0	0	0	2	0	0	0	15	1	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2608	0	0	0	0	0	0	3	3	1	0	3	0	0	0	0	0	0	0	0	1	2	0	2	0	1	4	0	0	0	9	2	0	0	0	11	3	0	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	4	2	0	0	0	2	3	0	0	0	0	5	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_2609	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	11	0	0	0	0	6	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	8	11	3	0	0	0	2	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2610	0	1	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	2	0	0	0	0	2	0	0	0	0	15	6	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2611	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	20	0	0	0	0	0	0	1	7	0	0	1	19	6	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2612	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	11	3	0	0	0	30	3	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2613	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	5	0	0	0	0	9	6	0	0	0	0	0	0	0	0
ASV_2614	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	14	0	3	0	0	1	5	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2615	0	0	0	0	2	3	11	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2616	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	15	11	2	1	2	0	0	0	0	0	31	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2617	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2618	17	0	0	0	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0
ASV_2619	12	4	1	0	2	1	5	3	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	9	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2620	5	14	0	0	12	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2621	5	0	1	0	12	0	2	6	1	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	5	0	0	0	5	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	4	0	2	0	0	1	0	0	0	0	0	0
ASV_2622	3	13	0	0	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	4	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	11	2	0	0	0	1	6	0	0	0	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2623	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	5	0	0	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	8	4	15	0	0	1	0	5	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2624	0	4	1	0	0	0	3	0	0	0	0	0	2	0	3	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3	0	0	3	0	3	0	0	0	2	0	0	6	0	0	0	0	3	0	0	0	0	2	0	1	0	0	3	1	0	0	0	0	1	2	1	5	4	3	0	2	0	7	0	0	0	0	0	0	0
ASV_2625	0	3	0	0	0	0	1	0	0	0	0	0	0	0	6	5	0	0	0	3	1	0	1	7	0	1	0	0	0	0	1	0	0	0	0	3	9	0	3	2	0	0	0	0	0	0	0	0	11	2	1	0	0	0	0	0	1	0	0	2	0	0	1	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0
ASV_2626	0	9	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	12	0	0	0	0	4	0	0	0	5	13	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	1	0	4	0	0	0	0	0	0
ASV_2627	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	7	0	0	0	1	0	0	0	0	2	10	0	0	0	0	13	0	0	0	0	1	0	0	0	0	4	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0
ASV_2628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	5	3	3	3	4	3	5	5	8	2	0	7	1	4	3	0	0	0	0	0	0
ASV_2629	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	40	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2631	1	0	2	0	1	5	3	4	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	4	0	0	0	6	0	0	0	0	5	4	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_2632	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18	12	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2633	0	4	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	0	3	1	0	0	0	0	0	2	2	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	5	2	0	1	0	1	3	3	7	4	0	0	0	5	1	3	5	0	0	0	0	0	0
ASV_2634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	6	0	0	0	0	2	0	0	4	2	25	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	1	1	3	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_2635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	13	7	0	0	0	0	0	0	0	3	7	1	0	0	4	3	5	0	0	0	0	0	0	0	0	8	1	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV_2636	0	4	4	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	17	4	7	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_2637	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	20	8	0	0	0	2	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	1	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	2	2	1	0	0	0	0	0	0
ASV_2638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	14	14	0	1	10	12	3	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2640	9	13	1	3	0	13	3	0	1	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2641	6	2	1	2	3	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	5	0	0	0	0	10	4	1	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0
ASV_2642	2	2	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	4	3	0	0	0	2	0	0	0	0	2	0	0	0	0	2	2	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	3	7	1	0	0	0	1	3	6	5	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_2643	1	0	0	2	0	0	1	0	1	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	12	2	0	0	5	6	0	0	0	5	7	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2644	0	0	1	0	6	0	5	21	8	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	6	0	0	0	0	1	1	0	0	0	2	0	0	0	1	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_2645	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	13	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	4	4	0	0	0	0	1	0	3	0	0	0	1	8	0	0	0	3	5	0	0	0	0	1	2	1	1	2	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2646	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	2	27	0	3	0	0	12	0	0	0	0	2	0	0	1	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2647	0	2	0	0	1	2	0	0	0	0	0	0	3	1	4	1	0	0	1	2	3	0	1	1	4	0	0	0	1	0	0	0	0	0	4	2	0	0	0	2	5	0	0	0	6	0	0	0	5	0	1	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	3	5	0	0	1	1	0	0	0	0	0	0	0
ASV_2648	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	3	0	2	2	5	8	2	3	6	3	0	2	7	5	0	0	0	0	0	0	0	0
ASV_2649	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	13	2	0	1	3	0	0	0	0	1	19	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0
ASV_2650	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	3	0	0	0	9	0	0	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	4	2	2	0	1	0	4	0	0	0	0	4	1	1	1	1	3	0	0	0	0	0	0	0
