#ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_4596	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodiniellum	Gyrodiniellum shiwhaense
ASV_4597	Eukaryota	no_hit	unknown	Polycystinea	no_hit	no_hit	no_hit	no_hit
ASV_4598	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4599	Eukaryota	no_hit	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	Kariphilus	Kariphilus muscorum
ASV_4600	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4601	Eukaryota	no_hit	Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	Tintinnopsis sp. JG-2011a
ASV_4602	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4603	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis sp. CC-2009c
ASV_4604	Eukaryota	no_hit	unknown	Acantharea	Arthracanthida	Hexalaspididae	Hexaconus	Hexaconus serratus
ASV_4605	Eukaryota	Metazoa	Chordata	Appendicularia	Copelata	Fritillariidae	Fritillaria <tunicates>	Fritillaria formica
ASV_4606	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_4607	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4608	Eukaryota	no_hit	Apicomplexa	Conoidasida	Eugregarinorida	Lecudinidae	Lecudina	Lecudina polymorpha
ASV_4609	Eukaryota	no_hit	unknown	unknown	Pirsoniales	unknown	Pirsonia	Pirsonia punctigera
ASV_4610	Eukaryota	Metazoa	Platyhelminthes	Trematoda	Azygiida	Didymozoidae	no_hit	no_hit
ASV_4611	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4612	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	no_hit	no_hit	no_hit
ASV_4613	Eukaryota	no_hit	Ciliophora	Prostomatea	Prorodontida	Urotrichidae	Urotricha	no_hit
ASV_4614	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4615	Eukaryota	no_hit	Discosea	unknown	Stygamoebida	unknown	Stygamoeba	Stygamoeba regulata
ASV_4616	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_4617	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4618	Eukaryota	no_hit	unknown	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	Azadinium cuneatum
ASV_4619	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4620	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4621	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4622	Eukaryota	no_hit	unknown	Cryptophyceae	Cyathomonadacea	Goniomonadaceae	Goniomonas	no_hit
ASV_4623	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Uncultured marine alveolate Group I DH147-EKD18
ASV_4624	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4625	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4626	Eukaryota	no_hit	unknown	Acantharea	Chaunacanthida	no_hit	no_hit	no_hit
